t,y
13.347,1.435
13.38,1.438
13.413,1.443
13.447,1.448
13.48,1.454
13.514,1.461
13.547,1.466
13.58,1.473
13.614,1.478
13.647,1.483
13.68,1.486
13.714,1.488
13.747,1.489
13.78,1.488
13.814,1.489
13.847,1.486
13.881,1.483
13.914,1.481
13.947,1.478
13.981,1.474
14.014,1.471
14.047,1.471
14.081,1.469
14.114,1.469
14.147,1.471
14.181,1.474
14.214,1.479
14.248,1.484
14.281,1.489
14.314,1.495
14.348,1.503
14.381,1.509
14.414,1.513
14.448,1.517
14.481,1.522
14.514,1.524
14.548,1.523
14.581,1.523
14.615,1.52
14.648,1.516
14.681,1.511
14.715,1.506
14.748,1.501
14.781,1.496
14.815,1.49
14.848,1.484
14.882,1.481
14.915,1.477
14.948,1.474
14.982,1.473
15.015,1.474
15.048,1.475
15.082,1.476
15.115,1.479
15.148,1.481
15.182,1.483
15.215,1.484
15.249,1.486
15.282,1.486
15.315,1.487
15.349,1.486
15.382,1.484
15.415,1.481
15.449,1.478
15.482,1.474
15.515,1.468
15.549,1.463
15.582,1.458
15.616,1.454
15.649,1.45
15.682,1.447
15.716,1.444
15.749,1.443
15.782,1.443
15.816,1.445
15.849,1.446
15.883,1.45
15.916,1.454
15.949,1.458
15.983,1.463
16.016,1.468
16.049,1.473
16.083,1.477
16.116,1.481
16.149,1.483
16.183,1.486
16.216,1.487
16.25,1.488
16.283,1.487
16.316,1.486
16.35,1.484
16.383,1.483
16.416,1.481
16.45,1.48
16.483,1.479
16.517,1.478
16.55,1.479
16.583,1.48
16.617,1.481
16.65,1.484
16.683,1.487
16.717,1.493
16.75,1.498
16.783,1.502
16.817,1.505
16.85,1.511
16.884,1.515
16.917,1.517
16.95,1.519
16.984,1.519
17.017,1.521
17.05,1.519
17.084,1.517
17.117,1.515
17.15,1.511
17.184,1.508
17.217,1.503
17.251,1.499
17.284,1.496
17.317,1.492
17.351,1.489
17.384,1.486
17.417,1.484
17.451,1.483
17.484,1.483
17.517,1.483
17.551,1.484
17.584,1.486
17.618,1.486
17.651,1.487
17.684,1.489
17.718,1.488
17.751,1.487
17.784,1.486
17.818,1.486
17.851,1.485
17.885,1.482
17.918,1.479
17.951,1.477
17.985,1.473
18.018,1.469
18.051,1.466
18.085,1.462
18.118,1.46
18.151,1.457
18.185,1.457
18.218,1.456
18.252,1.456
18.285,1.457
18.318,1.459
18.352,1.462
18.385,1.465
18.418,1.468
18.452,1.472
18.485,1.475
18.518,1.478
18.552,1.481
18.585,1.485
18.619,1.485
18.652,1.486
18.685,1.486
18.719,1.487
18.752,1.487
18.785,1.486
18.819,1.484
18.852,1.484
18.886,1.484
18.919,1.483
18.952,1.483
18.986,1.486
19.019,1.487
19.052,1.489
19.086,1.491
19.119,1.495
19.152,1.498
19.186,1.502
19.219,1.505
19.253,1.51
19.286,1.513
19.319,1.516
19.353,1.518
19.386,1.52
19.419,1.52
19.453,1.52
19.486,1.52
19.52,1.519
19.553,1.518
19.586,1.515
19.62,1.512
19.653,1.508
19.686,1.506
19.72,1.502
19.753,1.499
19.786,1.495
19.82,1.495
19.853,1.493
19.887,1.491
19.92,1.49
19.953,1.491
19.987,1.49
20.02,1.49
20.053,1.49
20.087,1.492
20.12,1.492
20.153,1.491
20.187,1.49
20.22,1.489
20.254,1.489
20.287,1.487
20.32,1.484
20.354,1.481
20.387,1.478
20.42,1.475
20.454,1.472
20.487,1.469
20.52,1.466
20.554,1.465
20.587,1.463
20.621,1.462
20.654,1.462
20.687,1.463
20.721,1.465
20.754,1.466
20.787,1.469
20.821,1.472
20.854,1.475
20.888,1.476
20.921,1.479
20.954,1.482
20.988,1.484
21.021,1.485
21.054,1.487
21.088,1.489
21.121,1.49
21.154,1.49
21.188,1.49
21.221,1.49
21.255,1.49
21.288,1.491
21.321,1.491
21.355,1.493
21.388,1.494
21.421,1.496
21.455,1.498
21.488,1.5
21.521,1.503
21.555,1.506
21.588,1.51
21.622,1.512
21.655,1.516
21.688,1.519
21.722,1.523
21.755,1.526
21.788,1.528
21.822,1.529
21.855,1.531
21.889,1.531
21.922,1.53
21.955,1.528
21.989,1.528
22.022,1.526
22.055,1.523
22.089,1.52
22.122,1.519
22.155,1.517
22.189,1.515
22.222,1.512
22.256,1.511
22.289,1.509
22.322,1.508
22.356,1.508
22.389,1.508
22.422,1.508
22.456,1.508
22.489,1.507
22.523,1.508
22.556,1.507
22.589,1.506
22.623,1.503
22.656,1.501
22.689,1.5
22.723,1.497
22.756,1.495
22.789,1.492
22.823,1.49
22.856,1.488
22.89,1.485
22.923,1.483
22.956,1.481
22.99,1.48
23.023,1.479
23.056,1.48
23.09,1.48
23.123,1.48
23.156,1.481
23.19,1.483
23.223,1.484
23.257,1.486
23.29,1.488
23.323,1.49
23.357,1.492
23.39,1.493
23.423,1.495
23.457,1.496
23.49,1.498
23.523,1.498
23.557,1.499
23.59,1.499
23.624,1.5
23.657,1.5
23.69,1.501
23.724,1.502
23.757,1.504
23.79,1.505
23.824,1.507
23.857,1.509
23.891,1.512
23.924,1.513
23.957,1.516
23.991,1.52
24.024,1.523
24.057,1.525
24.091,1.528
24.124,1.531
24.157,1.533
24.191,1.534
24.224,1.536
24.258,1.536
24.291,1.536
24.324,1.535
24.358,1.535
