mass_A,
t,y
0.0000000E+00,2.1124581E+00
3.3366667E-02,2.0400637E+00
6.6733333E-02,1.9360944E+00
1.0010000E-01,1.8393386E+00
1.3346667E-01,1.7369169E+00
1.6683333E-01,1.6386364E+00
2.0020000E-01,1.5538378E+00
2.3356667E-01,1.4764665E+00
2.6693333E-01,1.4111849E+00
3.0030000E-01,1.3706956E+00
3.3366667E-01,1.3548940E+00
3.6703333E-01,1.3546220E+00
4.0040000E-01,1.3723727E+00
4.3376667E-01,1.4043525E+00
4.6713333E-01,1.4537179E+00
5.0050000E-01,1.5177642E+00
5.3386667E-01,1.6020378E+00
5.6723333E-01,1.6877649E+00
6.0060000E-01,1.7775362E+00
6.3396667E-01,1.8622763E+00
6.6733333E-01,1.9373310E+00
7.0070000E-01,2.0028410E+00
7.3406667E-01,2.0495847E+00
7.6743333E-01,2.0714142E+00
8.0080000E-01,2.0714039E+00
8.3416667E-01,2.0462665E+00
8.6753333E-01,2.0038109E+00
9.0090000E-01,1.9409767E+00
9.3426667E-01,1.8692738E+00
9.6763333E-01,1.7870655E+00
1.0010000E+00,1.7063803E+00
1.0343667E+00,1.6315282E+00
1.0677333E+00,1.5639315E+00
1.1011000E+00,1.5046988E+00
1.1344667E+00,1.4606459E+00
1.1678333E+00,1.4314376E+00
1.2012000E+00,1.4189775E+00
1.2345667E+00,1.4262931E+00
1.2679333E+00,1.4482721E+00
1.3013000E+00,1.4837204E+00
1.3346667E+00,1.5326501E+00
1.3680333E+00,1.5934516E+00
1.4014000E+00,1.6652325E+00
1.4347667E+00,1.7390499E+00
1.4681333E+00,1.8121159E+00
1.5015000E+00,1.8754850E+00
1.5348667E+00,1.9300238E+00
1.5682333E+00,1.9729390E+00
1.6016000E+00,1.9992038E+00
1.6349667E+00,2.0081644E+00
1.6683333E+00,1.9975116E+00
1.7017000E+00,1.9668069E+00
1.7350667E+00,1.9216420E+00
1.7684333E+00,1.8664732E+00
1.8018000E+00,1.8005730E+00
1.8351667E+00,1.7345906E+00
1.8685333E+00,1.6694361E+00
1.9019000E+00,1.6130209E+00
1.9352667E+00,1.5641986E+00
1.9686333E+00,1.5238924E+00
2.0020000E+00,1.4977486E+00
2.0353667E+00,1.4867051E+00
2.0687333E+00,1.4891144E+00
2.1021000E+00,1.5065212E+00
2.1354667E+00,1.5348029E+00
2.1688333E+00,1.5757133E+00
2.2022000E+00,1.6271106E+00
2.2355667E+00,1.6857499E+00
2.2689333E+00,1.7484833E+00
2.3023000E+00,1.8079639E+00
2.3356667E+00,1.8624300E+00
2.3690333E+00,1.9084987E+00
2.4024000E+00,1.9420193E+00
2.4357667E+00,1.9651108E+00
2.4691333E+00,1.9698560E+00
2.5025000E+00,1.9592816E+00
2.5358667E+00,1.9303745E+00
2.5692333E+00,1.8940881E+00
2.6026000E+00,1.8464469E+00
2.6359667E+00,1.7925793E+00
2.6693333E+00,1.7354634E+00
2.7027000E+00,1.6827055E+00
2.7360667E+00,1.6363218E+00
2.7694333E+00,1.5971421E+00
2.8028000E+00,1.5659291E+00
2.8361667E+00,1.5466318E+00
2.8695333E+00,1.5394690E+00
2.9029000E+00,1.5449850E+00
2.9362667E+00,1.5621941E+00
2.9696333E+00,1.5900510E+00
3.0030000E+00,1.6251449E+00
3.0363667E+00,1.6688697E+00
3.0697333E+00,1.7163744E+00
3.1031000E+00,1.7671577E+00
3.1364667E+00,1.8163630E+00
3.1698333E+00,1.8588512E+00
3.2032000E+00,1.8931881E+00
3.2365667E+00,1.9143936E+00
3.2699333E+00,1.9238411E+00
3.3033000E+00,1.9227482E+00
3.3366667E+00,1.9062188E+00
3.3700333E+00,1.8807542E+00
3.4034000E+00,1.8454201E+00
3.4367667E+00,1.8030271E+00
3.4701333E+00,1.7582417E+00
3.5035000E+00,1.7128714E+00
3.5368667E+00,1.6704709E+00
3.5702333E+00,1.6364947E+00
3.6036000E+00,1.6093872E+00
3.6369667E+00,1.5897878E+00
3.6703333E+00,1.5790115E+00
3.7037000E+00,1.5797121E+00
3.7370667E+00,1.5912601E+00
3.7704333E+00,1.6120185E+00
3.8038000E+00,1.6428813E+00
3.8371667E+00,1.6764716E+00
3.8705333E+00,1.7142582E+00
3.9039000E+00,1.7553157E+00
3.9372667E+00,1.7957273E+00
3.9706333E+00,1.8342622E+00
4.0040000E+00,1.8671796E+00
4.0373667E+00,1.8895931E+00
4.0707333E+00,1.9008456E+00
4.1041000E+00,1.9016250E+00
4.1374667E+00,1.8910948E+00
4.1708333E+00,1.8722607E+00
4.2042000E+00,1.8444039E+00
4.2375667E+00,1.8119720E+00
4.2709333E+00,1.7756268E+00
4.3043000E+00,1.7360709E+00
4.3376667E+00,1.7018046E+00
4.3710333E+00,1.6720314E+00
4.4044000E+00,1.6479416E+00
4.4377667E+00,1.6316484E+00
4.4711333E+00,1.6238691E+00
4.5045000E+00,1.6233965E+00
4.5378667E+00,1.6323488E+00
4.5712333E+00,1.6507523E+00
4.6046000E+00,1.6756620E+00
4.6379667E+00,1.7075122E+00
4.6713333E+00,1.7401293E+00
4.7047000E+00,1.7737144E+00
4.7380667E+00,1.8078679E+00
4.7714333E+00,1.8377923E+00
4.8048000E+00,1.8636189E+00
4.8381667E+00,1.8816952E+00
4.8715333E+00,1.8904345E+00
4.9049000E+00,1.8903233E+00
4.9382667E+00,1.8796553E+00
4.9716333E+00,1.8624267E+00
5.0050000E+00,1.8390195E+00
5.0383667E+00,1.8116086E+00
5.0717333E+00,1.7811467E+00
5.1051000E+00,1.7504329E+00
5.1384667E+00,1.7217578E+00
5.1718333E+00,1.6977893E+00
5.2052000E+00,1.6795342E+00
5.2385667E+00,1.6667625E+00
5.2719333E+00,1.6621241E+00
5.3053000E+00,1.6651814E+00
5.3386667E+00,1.6745709E+00
5.3720333E+00,1.6920949E+00
5.4054000E+00,1.7139881E+00
5.4387667E+00,1.7413971E+00
5.4721333E+00,1.7701763E+00
5.5055000E+00,1.7971289E+00
5.5388667E+00,1.8246744E+00
5.5722333E+00,1.8453579E+00
5.6056000E+00,1.8633769E+00
5.6389667E+00,1.8738568E+00
5.6723333E+00,1.8777498E+00
5.7057000E+00,1.8729277E+00
5.7390667E+00,1.8614724E+00
5.7724333E+00,1.8433699E+00
5.8058000E+00,1.8210499E+00
5.8391667E+00,1.7959864E+00
