mass_A,
5.8725333E+00,1.7710236E+00
5.9059000E+00,1.7455116E+00
5.9392667E+00,1.7227816E+00
5.9726333E+00,1.7053286E+00
6.0060000E+00,1.6924945E+00
6.0393667E+00,1.6867967E+00
6.0727333E+00,1.6891832E+00
6.1061000E+00,1.6957554E+00
6.1394667E+00,1.7073115E+00
6.1728333E+00,1.7263713E+00
6.2062000E+00,1.7466448E+00
6.2395667E+00,1.7706106E+00
6.2729333E+00,1.7959158E+00
6.3063000E+00,1.8203165E+00
6.3396667E+00,1.8398736E+00
6.3730333E+00,1.8558096E+00
6.4064000E+00,1.8666833E+00
6.4397667E+00,1.8704595E+00
6.4731333E+00,1.8692635E+00
6.5065000E+00,1.8607230E+00
6.5398667E+00,1.8463250E+00
6.5732333E+00,1.8285129E+00
6.6066000E+00,1.8077674E+00
6.6399667E+00,1.7852139E+00
6.6733333E+00,1.7648050E+00
6.7067000E+00,1.7456927E+00
6.7400667E+00,1.7315114E+00
6.7734333E+00,1.7210540E+00
6.8068000E+00,1.7151023E+00
6.8401667E+00,1.7169020E+00
6.8735333E+00,1.7225178E+00
6.9069000E+00,1.7330924E+00
6.9402667E+00,1.7493178E+00
6.9736333E+00,1.7674411E+00
7.0070000E+00,1.7866127E+00
7.0403667E+00,1.8092280E+00
7.0737333E+00,1.8305464E+00
7.1071000E+00,1.8487980E+00
7.1404667E+00,1.8629279E+00
7.1738333E+00,1.8703158E+00
7.2072000E+00,1.8738736E+00
7.2405667E+00,1.8707489E+00
7.2739333E+00,1.8637944E+00
7.3073000E+00,1.8507767E+00
7.3406667E+00,1.8359288E+00
7.3740333E+00,1.8167756E+00
7.4074000E+00,1.7976188E+00
7.4407667E+00,1.7792711E+00
7.4741333E+00,1.7646658E+00
7.5075000E+00,1.7538262E+00
7.5408667E+00,1.7457998E+00
7.5742333E+00,1.7427325E+00
7.6076000E+00,1.7415594E+00
7.6409667E+00,1.7467532E+00
7.6743333E+00,1.7558290E+00
7.7077000E+00,1.7695545E+00
7.7410667E+00,1.7870895E+00
7.7744333E+00,1.8050616E+00
7.8078000E+00,1.8206838E+00
7.8411667E+00,1.8374004E+00
7.8745333E+00,1.8496658E+00
7.9079000E+00,1.8595799E+00
7.9412667E+00,1.8638498E+00
7.9746333E+00,1.8635278E+00
8.0080000E+00,1.8584081E+00
8.0413667E+00,1.8490709E+00
8.0747333E+00,1.8356437E+00
8.1081000E+00,1.8214504E+00
8.1414667E+00,1.8074000E+00
8.1748333E+00,1.7922342E+00
8.2082000E+00,1.7774957E+00
8.2415667E+00,1.7648845E+00
8.2749333E+00,1.7543888E+00
8.3083000E+00,1.7500007E+00
8.3416667E+00,1.7500863E+00
8.3750333E+00,1.7541639E+00
8.4084000E+00,1.7603033E+00
8.4417667E+00,1.7695855E+00
8.4751333E+00,1.7829181E+00
8.5085000E+00,1.7974757E+00
8.5418667E+00,1.8122461E+00
8.5752333E+00,1.8258017E+00
8.6086000E+00,1.8392037E+00
8.6419667E+00,1.8487709E+00
8.6753333E+00,1.8540005E+00
8.7087000E+00,1.8568448E+00
8.7420667E+00,1.8543951E+00
8.7754333E+00,1.8490116E+00
8.8088000E+00,1.8398215E+00
8.8421667E+00,1.8283008E+00
8.8755333E+00,1.8126890E+00
8.9089000E+00,1.8009561E+00
8.9422667E+00,1.7884571E+00
8.9756333E+00,1.7784684E+00
9.0090000E+00,1.7702365E+00
9.0423667E+00,1.7653429E+00
9.0757333E+00,1.7643138E+00
9.1091000E+00,1.7650015E+00
9.1424667E+00,1.7730234E+00
9.1758333E+00,1.7825560E+00
9.2092000E+00,1.7929940E+00
9.2425667E+00,1.8067572E+00
9.2759333E+00,1.8200966E+00
9.3093000E+00,1.8312455E+00
9.3426667E+00,1.8440023E+00
9.3760333E+00,1.8532786E+00
9.4094000E+00,1.8590394E+00
9.4427667E+00,1.8594923E+00
9.4761333E+00,1.8583627E+00
9.5095000E+00,1.8535307E+00
9.5428667E+00,1.8460861E+00
9.5762333E+00,1.8354970E+00
9.6096000E+00,1.8258276E+00
9.6429667E+00,1.8134669E+00
9.6763333E+00,1.8020531E+00
9.7097000E+00,1.7930547E+00
9.7430667E+00,1.7867157E+00
9.7764333E+00,1.7832634E+00
9.8098000E+00,1.7834075E+00
9.8431667E+00,1.7865932E+00
9.8765333E+00,1.7909630E+00
9.9099000E+00,1.7987882E+00
9.9432667E+00,1.8076936E+00
9.9766333E+00,1.8184425E+00
1.0010000E+01,1.8297221E+00
1.0043367E+01,1.8398638E+00
1.0076733E+01,1.8489745E+00
1.0110100E+01,1.8546471E+00
1.0143467E+01,1.8584683E+00
1.0176833E+01,1.8590247E+00
1.0210200E+01,1.8581510E+00
1.0243567E+01,1.8514387E+00
1.0276933E+01,1.8436616E+00
1.0310300E+01,1.8339745E+00
1.0343667E+01,1.8237779E+00
1.0377033E+01,1.8131143E+00
1.0410400E+01,1.8041723E+00
1.0443767E+01,1.7967618E+00
1.0477133E+01,1.7900929E+00
1.0510500E+01,1.7870168E+00
1.0543867E+01,1.7844514E+00
1.0577233E+01,1.7881744E+00
1.0610600E+01,1.7926835E+00
1.0643967E+01,1.7988073E+00
1.0677333E+01,1.8074215E+00
1.0710700E+01,1.8166632E+00
1.0744067E+01,1.8248412E+00
1.0777433E+01,1.8346787E+00
1.0810800E+01,1.8402322E+00
1.0844167E+01,1.8457432E+00
1.0877533E+01,1.8471487E+00
1.0910900E+01,1.8482710E+00
1.0944267E+01,1.8444443E+00
1.0977633E+01,1.8385603E+00
1.1011000E+01,1.8318877E+00
1.1044367E+01,1.8246711E+00
1.1077733E+01,1.8163256E+00
1.1111100E+01,1.8068858E+00
1.1144467E+01,1.7983945E+00
1.1177833E+01,1.7934704E+00
1.1211200E+01,1.7901365E+00
1.1244567E+01,1.7895727E+00
1.1277933E+01,1.7914312E+00
1.1311300E+01,1.7934847E+00
1.1344667E+01,1.8008015E+00
1.1378033E+01,1.8086580E+00
1.1411400E+01,1.8162158E+00
1.1444767E+01,1.8253336E+00
1.1478133E+01,1.8341995E+00
1.1511500E+01,1.8399714E+00
1.1544867E+01,1.8448773E+00
1.1578233E+01,1.8484654E+00
1.1611600E+01,1.8490931E+00
1.1644967E+01,1.8475094E+00
1.1678333E+01,1.8441215E+00
1.1711700E+01,1.8387703E+00
1.1745067E+01,1.8308493E+00
1.1778433E+01,1.8241775E+00
1.1811800E+01,1.8167364E+00
1.1845167E+01,1.8108696E+00
1.1878533E+01,1.8076413E+00
1.1911900E+01,1.8047966E+00
1.1945267E+01,1.8027296E+00
1.1978633E+01,1.8029275E+00
1.2012000E+01,1.8067001E+00
1.2045367E+01,1.8113613E+00
1.2078733E+01,1.8190170E+00
1.2112100E+01,1.8259756E+00
1.2145467E+01,1.8331403E+00
1.2178833E+01,1.8401167E+00
1.2212200E+01,1.8447781E+00
1.2245567E+01,1.8499133E+00
1.2278933E+01,1.8527598E+00
1.2312300E+01,1.8525912E+00
1.2345667E+01,1.8530396E+00
1.2379033E+01,1.8486990E+00
1.2412400E+01,1.8436139E+00
1.2445767E+01,1.8363501E+00
1.2479133E+01,1.8300813E+00
1.2512500E+01,1.8243616E+00
1.2545867E+01,1.8171479E+00
1.2579233E+01,1.8109008E+00
1.2612600E+01,1.8088031E+00
1.2645967E+01,1.8066884E+00
1.2679333E+01,1.8066883E+00
1.2712700E+01,1.8105053E+00
1.2746067E+01,1.8148736E+00
1.2779433E+01,1.8173631E+00
1.2812800E+01,1.8242285E+00
1.2846167E+01,1.8299543E+00
1.2879533E+01,1.8349084E+00
1.2912900E+01,1.8402105E+00
1.2946267E+01,1.8440036E+00
1.2979633E+01,1.8445595E+00
1.3013000E+01,1.8444211E+00
1.3046367E+01,1.8428319E+00
1.3079733E+01,1.8383170E+00
1.3113100E+01,1.8340318E+00
1.3146467E+01,1.8291679E+00
1.3179833E+01,1.8233721E+00
1.3213200E+01,1.8179405E+00
1.3246567E+01,1.8113506E+00
1.3279933E+01,1.8072341E+00
1.3313300E+01,1.8058846E+00
1.3346667E+01,1.8058909E+00
1.3380033E+01,1.8062456E+00
1.3413400E+01,1.8081738E+00
1.3446767E+01,1.8118670E+00
1.3480133E+01,1.8164684E+00
1.3513500E+01,1.8218614E+00
1.3546867E+01,1.8288660E+00
1.3580233E+01,1.8336052E+00
1.3613600E+01,1.8382798E+00
1.3646967E+01,1.8398817E+00
1.3680333E+01,1.8408238E+00
1.3713700E+01,1.8398782E+00
1.3747067E+01,1.8394620E+00
1.3780433E+01,1.8352927E+00
1.3813800E+01,1.8314768E+00
1.3847167E+01,1.8262198E+00
1.3880533E+01,1.8202748E+00
1.3913900E+01,1.8163109E+00
1.3947267E+01,1.8126910E+00
1.3980633E+01,1.8107754E+00
1.4014000E+01,1.8105920E+00
1.4047367E+01,1.8102057E+00
1.4080733E+01,1.8112400E+00
1.4114100E+01,1.8132193E+00
1.4147467E+01,1.8167560E+00
1.4180833E+01,1.8213106E+00
1.4214200E+01,1.8284139E+00
1.4247567E+01,1.8325675E+00
1.4280933E+01,1.8356848E+00
1.4314300E+01,1.8388570E+00
1.4347667E+01,1.8405149E+00
1.4381033E+01,1.8404801E+00
1.4414400E+01,1.8402153E+00
1.4447767E+01,1.8393441E+00
1.4481133E+01,1.8356014E+00
1.4514500E+01,1.8309127E+00
1.4547867E+01,1.8265530E+00
1.4581233E+01,1.8213431E+00
1.4614600E+01,1.8182347E+00
1.4647967E+01,1.8158597E+00
1.4681333E+01,1.8153080E+00
1.4714700E+01,1.8154459E+00
1.4748067E+01,1.8156514E+00
1.4781433E+01,1.8167638E+00
1.4814800E+01,1.8214460E+00
1.4848167E+01,1.8255614E+00
1.4881533E+01,1.8296215E+00
1.4914900E+01,1.8336855E+00
1.4948267E+01,1.8365936E+00
1.4981633E+01,1.8395627E+00
1.5015000E+01,1.8399135E+00
1.5048367E+01,1.8408942E+00
1.5081733E+01,1.8401605E+00
1.5115100E+01,1.8388823E+00
1.5148467E+01,1.8350732E+00
1.5181833E+01,1.8305253E+00
1.5215200E+01,1.8264478E+00
1.5248567E+01,1.8226450E+00
1.5281933E+01,1.8198505E+00
1.5315300E+01,1.8169820E+00
1.5348667E+01,1.8155298E+00
1.5382033E+01,1.8151788E+00
1.5415400E+01,1.8158294E+00
1.5448767E+01,1.8171759E+00
1.5482133E+01,1.8203361E+00
1.5515500E+01,1.8248395E+00
1.5548867E+01,1.8271603E+00
1.5582233E+01,1.8305845E+00
1.5615600E+01,1.8346286E+00
1.5648967E+01,1.8357973E+00
1.5682333E+01,1.8389549E+00
1.5715700E+01,1.8398129E+00
1.5749067E+01,1.8398634E+00
1.5782433E+01,1.8391188E+00
1.5815800E+01,1.8357142E+00
1.5849167E+01,1.8325299E+00
1.5882533E+01,1.8302284E+00
1.5915900E+01,1.8271865E+00
1.5949267E+01,1.8255255E+00
1.5982633E+01,1.8231900E+00
1.6016000E+01,1.8233252E+00
1.6049367E+01,1.8213622E+00
1.6082733E+01,1.8220547E+00
1.6116100E+01,1.8250631E+00
1.6149467E+01,1.8274813E+00
1.6182833E+01,1.8314381E+00
1.6216200E+01,1.8349654E+00
1.6249567E+01,1.8383382E+00
1.6282933E+01,1.8412447E+00
1.6316300E+01,1.8442948E+00
1.6349667E+01,1.8459309E+00
1.6383033E+01,1.8460118E+00
1.6416400E+01,1.8455111E+00
1.6449767E+01,1.8445226E+00
1.6483133E+01,1.8424141E+00
1.6516500E+01,1.8401987E+00
1.6549867E+01,1.8392421E+00
1.6583233E+01,1.8360687E+00
1.6616600E+01,1.8353311E+00
1.6649967E+01,1.8333993E+00
1.6683333E+01,1.8336421E+00
1.6716700E+01,1.8335405E+00
1.6750067E+01,1.8351382E+00
1.6783433E+01,1.8365954E+00
1.6816800E+01,1.8400369E+00
1.6850167E+01,1.8434501E+00
1.6883533E+01,1.8453248E+00
1.6916900E+01,1.8493240E+00
1.6950267E+01,1.8516451E+00
1.6983633E+01,1.8551657E+00
1.7017000E+01,1.8560937E+00
1.7050367E+01,1.8565773E+00
1.7083733E+01,1.8566557E+00
1.7117100E+01,1.8548003E+00
1.7150467E+01,1.8531956E+00
1.7183833E+01,1.8497413E+00
1.7217200E+01,1.8487662E+00
1.7250567E+01,1.8479321E+00
1.7283933E+01,1.8447993E+00
1.7317300E+01,1.8435009E+00
1.7350667E+01,1.8425934E+00
1.7384033E+01,1.8432307E+00
1.7417400E+01,1.8443901E+00
1.7450767E+01,1.8469317E+00
1.7484133E+01,1.8496251E+00
1.7517500E+01,1.8518074E+00
1.7550867E+01,1.8534161E+00
1.7584233E+01,1.8569244E+00
1.7617600E+01,1.8580093E+00
1.7650967E+01,1.8587932E+00
1.7684333E+01,1.8588566E+00
1.7717700E+01,1.8586801E+00
1.7751067E+01,1.8575820E+00
1.7784433E+01,1.8543536E+00
1.7817800E+01,1.8535762E+00
1.7851167E+01,1.8512430E+00
1.7884533E+01,1.8486554E+00
1.7917900E+01,1.8474664E+00
1.7951267E+01,1.8460009E+00
1.7984633E+01,1.8442247E+00
1.8018000E+01,1.8438062E+00
1.8051367E+01,1.8444919E+00
1.8084733E+01,1.8457751E+00
1.8118100E+01,1.8483115E+00
1.8151467E+01,1.8495080E+00
1.8184833E+01,1.8525623E+00
1.8218200E+01,1.8540485E+00
1.8251567E+01,1.8570283E+00
1.8284933E+01,1.8582567E+00
1.8318300E+01,1.8593059E+00
1.8351667E+01,1.8588250E+00
1.8385033E+01,1.8585438E+00
1.8418400E+01,1.8582051E+00
1.8451767E+01,1.8566316E+00
1.8485133E+01,1.8544602E+00
1.8518500E+01,1.8533958E+00
1.8551867E+01,1.8508325E+00
1.8585233E+01,1.8503455E+00
1.8618600E+01,1.8487530E+00
1.8651967E+01,1.8485953E+00
1.8685333E+01,1.8496384E+00
1.8718700E+01,1.8493842E+00
1.8752067E+01,1.8535015E+00
1.8785433E+01,1.8547088E+00
1.8818800E+01,1.8571470E+00
1.8852167E+01,1.8587038E+00
1.8885533E+01,1.8622393E+00
1.8918900E+01,1.8625233E+00
1.8952267E+01,1.8642565E+00
1.8985633E+01,1.8663063E+00
1.9019000E+01,1.8650814E+00
