t,x,y
5.1384667,0.0336599,-1.3064883
5.1718333,0.0354339,-1.3013928
5.2052000,0.0368926,-1.2956091
5.2385667,0.0380750,-1.2893173
5.2719333,0.0390766,-1.2835292
5.3053000,0.0403592,-1.2786363
5.3386667,0.0412560,-1.2748728
5.3720333,0.0419816,-1.2729113
5.4054000,0.0423095,-1.2726585
5.4387667,0.0423268,-1.2742114
5.4721333,0.0423652,-1.2768319
5.5055000,0.0421734,-1.2811852
5.5388667,0.0420069,-1.2862591
5.5722333,0.0416946,-1.2921035
5.6056000,0.0409283,-1.2974352
5.6389667,0.0396490,-1.3019259
5.6723333,0.0378349,-1.3053912
5.7057000,0.0357410,-1.3078729
5.7390667,0.0338635,-1.3085821
5.7724333,0.0319736,-1.3082950
5.8058000,0.0299153,-1.3063861
5.8391667,0.0272962,-1.3030710
5.8725333,0.0243787,-1.2992525
5.9059000,0.0213568,-1.2942453
5.9392667,0.0189368,-1.2900254
5.9726333,0.0160203,-1.2857979
6.0060000,0.0132366,-1.2821153
6.0393667,0.0105224,-1.2799512
6.0727333,0.0073428,-1.2788549
6.1061000,0.0042171,-1.2795819
6.1394667,0.0012773,-1.2815064
6.1728333,-0.0015901,-1.2848755
6.2062000,-0.0038891,-1.2887780
6.2395667,-0.0066005,-1.2931941
6.2729333,-0.0090907,-1.2976606
6.3063000,-0.0118575,-1.3016133
6.3396667,-0.0143517,-1.3048722
6.3730333,-0.0164072,-1.3075761
6.4064000,-0.0180090,-1.3087625
6.4397667,-0.0194525,-1.3085183
6.4731333,-0.0209797,-1.3072526
6.5065000,-0.0225389,-1.3045984
6.5398667,-0.0235966,-1.3010993
6.5732333,-0.0244145,-1.2972317
6.6066000,-0.0248354,-1.2924835
6.6399667,-0.0247975,-1.2886914
6.6733333,-0.0247869,-1.2851621
6.7067000,-0.0246890,-1.2820869
6.7400667,-0.0245810,-1.2801418
6.7734333,-0.0242259,-1.2798694
6.8068000,-0.0232922,-1.2804034
6.8401667,-0.0221172,-1.2824455
6.8735333,-0.0201776,-1.2852660
6.9069000,-0.0187400,-1.2886865
6.9402667,-0.0175439,-1.2922347
6.9736333,-0.0158406,-1.2956435
7.0070000,-0.0141087,-1.2980083
7.0403667,-0.0118265,-1.2998269
7.0737333,-0.0091439,-1.3011368
7.1071000,-0.0067819,-1.3011257
7.1404667,-0.0039775,-1.2995446
7.1738333,-0.0016644,-1.2974591
7.2072000,0.0007186,-1.2940596
7.2405667,0.0034298,-1.2903923
7.2739333,0.0065938,-1.2864209
7.3073000,0.0094597,-1.2826360
7.3406667,0.0122903,-1.2794236
7.3740333,0.0147160,-1.2764799
7.4074000,0.0171768,-1.2746325
7.4407667,0.0193750,-1.2742079
7.4741333,0.0223944,-1.2745512
7.5075000,0.0250225,-1.2762456
7.5408667,0.0276930,-1.2782931
7.5742333,0.0298432,-1.2815111
7.6076000,0.0317336,-1.2843161
7.6409667,0.0333499,-1.2870559
7.6743333,0.0350042,-1.2895747
7.7077000,0.0366802,-1.2910756
7.7410667,0.0378057,-1.2923084
7.7744333,0.0388106,-1.2923202
7.8078000,0.0390275,-1.2915369
7.8411667,0.0389107,-1.2897373
7.8745333,0.0389691,-1.2872048
7.9079000,0.0388683,-1.2842569
7.9412667,0.0386071,-1.2813214
7.9746333,0.0383190,-1.2783494
8.0080000,0.0372060,-1.2761454
8.0413667,0.0357271,-1.2744933
8.0747333,0.0340811,-1.2733461
8.1081000,0.0325878,-1.2731963
8.1414667,0.0306004,-1.2745837
8.1748333,0.0287264,-1.2765417
8.2082000,0.0267425,-1.2795169
8.2415667,0.0246659,-1.2827577
8.2749333,0.0220858,-1.2856986
8.3083000,0.0194778,-1.2887904
8.3416667,0.0171572,-1.2913229
8.3750333,0.0146756,-1.2931078
8.4084000,0.0121950,-1.2941536
8.4417667,0.0093664,-1.2942672
8.4751333,0.0063664,-1.2938182
8.5085000,0.0034389,-1.2922630
8.5418667,0.0003657,-1.2903680
8.5752333,-0.0020835,-1.2879685
8.6086000,-0.0045931,-1.2855857
8.6419667,-0.0071127,-1.2834175
8.6753333,-0.0094437,-1.2816527
8.7087000,-0.0121030,-1.2801157
8.7420667,-0.0144304,-1.2798659
8.7754333,-0.0162971,-1.2799809
8.8088000,-0.0179795,-1.2814273
8.8421667,-0.0195556,-1.2833364
8.8755333,-0.0210197,-1.2853784
8.9089000,-0.0223673,-1.2879660
8.9422667,-0.0238400,-1.2905097
8.9756333,-0.0247485,-1.2924816
9.0090000,-0.0250696,-1.2942017
9.0423667,-0.0253305,-1.2954927
9.0757333,-0.0250537,-1.2958403
9.1091000,-0.0248306,-1.2956068
9.1424667,-0.0247516,-1.2941244
9.1758333,-0.0242872,-1.2922591
9.2092000,-0.0233669,-1.2902140
9.2425667,-0.0222336,-1.2875018
9.2759333,-0.0208256,-1.2851899
9.3093000,-0.0192529,-1.2831721
9.3426667,-0.0175921,-1.2814924
9.3760333,-0.0158913,-1.2800293
9.4094000,-0.0139890,-1.2798002
9.4427667,-0.0117556,-1.2799327
9.4761333,-0.0092309,-1.2810779
9.5095000,-0.0066131,-1.2825501
9.5428667,-0.0038109,-1.2838565
9.5762333,-0.0013967,-1.2854930
9.6096000,0.0014214,-1.2871799
9.6429667,0.0040995,-1.2887599
9.6763333,0.0068946,-1.2898408
9.7097000,0.0101239,-1.2904476
9.7430667,0.0130014,-1.2903000
9.7764333,0.0158864,-1.2889935
9.8098000,0.0182768,-1.2872907
9.8431667,0.0208663,-1.2853050
9.8765333,0.0232514,-1.2832138
9.9099000,0.0257895,-1.2809265
9.9432667,0.0284125,-1.2790112
9.9766333,0.0306015,-1.2768467
10.0100000,0.0322867,-1.2755594
10.0433667,0.0338299,-1.2748330
10.0767333,0.0354090,-1.2747241
10.1101000,0.0368847,-1.2752509
10.1434667,0.0384724,-1.2764641
10.1768333,0.0394748,-1.2782072
10.2102000,0.0404385,-1.2799541
10.2435667,0.0407811,-1.2817758
10.2769333,0.0409535,-1.2835224
10.3103000,0.0407999,-1.2850760
10.3436667,0.0406316,-1.2862999
10.3770333,0.0403131,-1.2869073
10.4104000,0.0397484,-1.2869999
10.4437667,0.0386752,-1.2866290
10.4771333,0.0372534,-1.2853345
10.5105000,0.0356996,-1.2840275
10.5438667,0.0340153,-1.2825084
10.5772333,0.0321346,-1.2813103
10.6106000,0.0301065,-1.2800384
10.6439667,0.0282248,-1.2795033
10.6773333,0.0259512,-1.2793208
10.7107000,0.0237451,-1.2796789
10.7440667,0.0212349,-1.2801438
10.7774333,0.0188749,-1.2816992
10.8108000,0.0165217,-1.2833584
10.8441667,0.0141486,-1.2852898
10.8775333,0.0116317,-1.2871759
10.9109000,0.0088561,-1.2889717
10.9442667,0.0059895,-1.2905554
10.9776333,0.0030216,-1.2918557
11.0110000,0.0002498,-1.2925276
11.0443667,-0.0022567,-1.2926488
11.0777333,-0.0047722,-1.2924724
11.1111000,-0.0073831,-1.2919812
11.1444667,-0.0096561,-1.2906050
11.1778333,-0.0117290,-1.2890282
11.2112000,-0.0141186,-1.2875848
11.2445667,-0.0160164,-1.2865291
11.2779333,-0.0178172,-1.2853622
11.3113000,-0.0193659,-1.2847734
11.3446667,-0.0207421,-1.2845967
11.3780333,-0.0220504,-1.2848886
11.4114000,-0.0231035,-1.2852306
11.4447667,-0.0241142,-1.2859794
11.4781333,-0.0247008,-1.2871096
11.5115000,-0.0247592,-1.2886985
11.5448667,-0.0246594,-1.2900742
11.5782333,-0.0246968,-1.2907382
11.6116000,-0.0238822,-1.2919602
11.6449667,-0.0228377,-1.2922919
11.6783333,-0.0218502,-1.2923249
11.7117000,-0.0203222,-1.2921782
11.7450667,-0.0186380,-1.2910306
11.7784333,-0.0163106,-1.2899204
11.8118000,-0.0142729,-1.2886049
11.8451667,-0.0122245,-1.2869781
11.8785333,-0.0101239,-1.2852639
11.9119000,-0.0076561,-1.2836959
11.9452667,-0.0051947,-1.2830204
11.9786333,-0.0022710,-1.2819289
12.0120000,0.0003989,-1.2816877
12.0453667,0.0032864,-1.2816391
12.0787333,0.0063887,-1.2817680
12.1121000,0.0094231,-1.2824580
12.1454667,0.0121607,-1.2834234
12.1788333,0.0149151,-1.2841542
12.2122000,0.0177222,-1.2851233
12.2455667,0.0206582,-1.2853656
12.2789333,0.0233370,-1.2855471
12.3123000,0.0258748,-1.2855068
12.3456667,0.0281954,-1.2852778
12.3790333,0.0302736,-1.2850440
12.4124000,0.0323374,-1.2837105
12.4457667,0.0341420,-1.2824285
12.4791333,0.0355694,-1.2813074
12.5125000,0.0371102,-1.2799034
12.5458667,0.0384492,-1.2785746
12.5792333,0.0391757,-1.2781484
12.6126000,0.0398848,-1.2777649
12.6459667,0.0405221,-1.2778173
12.6793333,0.0408876,-1.2779288
12.7127000,0.0408721,-1.2782853
12.7460667,0.0406975,-1.2795603
12.7794333,0.0402715,-1.2809068
12.8128000,0.0396786,-1.2822243
12.8461667,0.0385295,-1.2835484
12.8795333,0.0374055,-1.2849441
12.9129000,0.0800238,-1.2868371
