t,x,y
0.0000000,0.0105676,-1.3737869
0.0333667,0.0132166,-1.3558074
0.0667333,0.0157252,-1.3349821
0.1001000,0.0180603,-1.3136653
0.1334667,0.0209334,-1.2927567
0.1668333,0.0234396,-1.2744351
0.2002000,0.0259597,-1.2594855
0.2335667,0.0282322,-1.2487216
0.2669333,0.0301675,-1.2430402
0.3003000,0.0324069,-1.2434187
0.3336667,0.0348264,-1.2498127
0.3670333,0.0374672,-1.2604579
0.4004000,0.0399054,-1.2751305
0.4337667,0.0424978,-1.2923111
0.4671333,0.0443559,-1.3105304
0.5005000,0.0458696,-1.3285393
0.5338667,0.0472656,-1.3453412
0.5672333,0.0482254,-1.3593706
0.6006000,0.0493141,-1.3698500
0.6339667,0.0495567,-1.3758541
0.6673333,0.0494182,-1.3774222
0.7007000,0.0488772,-1.3750141
0.7340667,0.0477544,-1.3684291
0.7674333,0.0463658,-1.3576838
0.8008000,0.0447973,-1.3436454
0.8341667,0.0426403,-1.3278248
0.8675333,0.0403726,-1.3113553
0.9009000,0.0378703,-1.2944006
0.9342667,0.0352166,-1.2797981
0.9676333,0.0325187,-1.2674698
1.0010000,0.0298499,-1.2593344
1.0343667,0.0272495,-1.2551527
1.0677333,0.0245391,-1.2561983
1.1011000,0.0218003,-1.2622423
1.1344667,0.0190819,-1.2717983
1.1678333,0.0162694,-1.2837849
1.2012000,0.0136481,-1.2980180
1.2345667,0.0110933,-1.3129963
1.2679333,0.0086112,-1.3281458
1.3013000,0.0057035,-1.3416583
1.3346667,0.0030196,-1.3528088
1.3680333,0.0002514,-1.3610797
1.4014000,-0.0020826,-1.3652866
1.4347667,-0.0040531,-1.3653771
1.4681333,-0.0061356,-1.3620138
1.5015000,-0.0080544,-1.3556601
1.5348667,-0.0105062,-1.3460630
1.5682333,-0.0122393,-1.3340371
1.6016000,-0.0134583,-1.3206067
1.6349667,-0.0144167,-1.3067826
1.6683333,-0.0154977,-1.2935761
1.7017000,-0.0163374,-1.2819638
1.7350667,-0.0170904,-1.2730115
1.7684333,-0.0177718,-1.2674923
1.8018000,-0.0180781,-1.2657309
1.8351667,-0.0179327,-1.2676455
1.8685333,-0.0176589,-1.2732218
1.9019000,-0.0172633,-1.2817800
1.9352667,-0.0166615,-1.2923884
1.9686333,-0.0160465,-1.3046667
2.0020000,-0.0155146,-1.3166754
2.0353667,-0.0142890,-1.3278975
2.0687333,-0.0125724,-1.3380013
2.1021000,-0.0107919,-1.3453765
2.1354667,-0.0090516,-1.3496083
2.1688333,-0.0071173,-1.3509652
2.2022000,-0.0052049,-1.3491491
2.2355667,-0.0030167,-1.3440964
2.2689333,-0.0002703,-1.3367078
2.3023000,0.0023796,-1.3268790
2.3356667,0.0048370,-1.3158600
2.3690333,0.0072848,-1.3037168
2.4024000,0.0100639,-1.2922922
2.4357667,0.0126326,-1.2817994
2.4691333,0.0156325,-1.2733995
2.5025000,0.0184764,-1.2673956
2.5358667,0.0211261,-1.2648215
2.5692333,0.0237658,-1.2653581
2.6026000,0.0262740,-1.2693305
2.6359667,0.0285949,-1.2759990
2.6693333,0.0314568,-1.2843131
2.7027000,0.0340240,-1.2939219
2.7360667,0.0364774,-1.3041135
2.7694333,0.0387128,-1.3137211
2.8028000,0.0405514,-1.3221987
2.8361667,0.0421035,-1.3286129
2.8695333,0.0435638,-1.3326085
2.9029000,0.0447003,-1.3340645
2.9362667,0.0456559,-1.3330155
2.9696333,0.0459732,-1.3293622
3.0030000,0.0457869,-1.3231634
3.0363667,0.0455539,-1.3154365
3.0697333,0.0449766,-1.3062594
3.1031000,0.0439182,-1.2966892
3.1364667,0.0427998,-1.2873336
3.1698333,0.0415727,-1.2794526
3.2032000,0.0402492,-1.2731933
3.2365667,0.0387350,-1.2694138
3.2699333,0.0369394,-1.2683662
3.3033000,0.0350950,-1.2694230
3.3366667,0.0332941,-1.2738529
3.3700333,0.0315012,-1.2802246
3.4034000,0.0292873,-1.2884731
3.4367667,0.0270589,-1.2973890
3.4701333,0.0246214,-1.3064508
3.5035000,0.0221456,-1.3147881
3.5368667,0.0196587,-1.3219942
3.5702333,0.0173572,-1.3273293
3.6036000,0.0145836,-1.3303614
3.6369667,0.0118540,-1.3311647
3.6703333,0.0088374,-1.3296516
3.7037000,0.0060472,-1.3260084
3.7370667,0.0033989,-1.3205538
3.7704333,0.0005821,-1.3136458
3.8038000,-0.0019909,-1.3060394
3.8371667,-0.0043149,-1.2981886
3.8705333,-0.0068146,-1.2908007
3.9039000,-0.0088620,-1.2848616
3.9372667,-0.0109890,-1.2802411
3.9706333,-0.0125642,-1.2779011
4.0040000,-0.0141052,-1.2779924
4.0373667,-0.0155336,-1.2800144
4.0707333,-0.0164681,-1.2846817
4.1041000,-0.0179057,-1.2905225
4.1374667,-0.0183336,-1.2973425
4.1708333,-0.0188042,-1.3044557
4.2042000,-0.0193679,-1.3113444
4.2375667,-0.0195763,-1.3172456
4.2709333,-0.0195095,-1.3221602
4.3043000,-0.0190074,-1.3253052
4.3376667,-0.0189776,-1.3261852
4.3710333,-0.0179083,-1.3255202
4.4044000,-0.0168411,-1.3224159
4.4377667,-0.0153596,-1.3178417
4.4711333,-0.0136476,-1.3118524
4.5045000,-0.0122185,-1.3051618
4.5378667,-0.0101702,-1.2980179
4.5712333,-0.0081610,-1.2909716
4.6046000,-0.0059266,-1.2850934
4.6379667,-0.0035375,-1.2802709
4.6713333,-0.0010905,-1.2776057
4.7047000,0.0011972,-1.2768349
4.7380667,0.0037254,-1.2779827
4.7714333,0.0061458,-1.2806321
4.8048000,0.0089226,-1.2848285
4.8381667,0.0116155,-1.2901092
4.8715333,0.0144147,-1.2958260
4.9049000,0.0172016,-1.3014316
4.9382667,0.0199141,-1.3065061
4.9716333,0.0225130,-1.3103965
5.0050000,0.0249835,-1.3128968
5.0383667,0.0269922,-1.3136389
5.0717333,0.0292735,-1.3128545
5.1051000,0.0317741,-1.3102545
