mass_A,
t,y
0.00000000E+00,2.17658107E+00
3.33666667E-02,2.12521530E+00
6.67333333E-02,2.05643751E+00
1.00100000E-01,1.97825641E+00
1.33466667E-01,1.90713899E+00
1.66833333E-01,1.83521331E+00
2.00200000E-01,1.77770881E+00
2.33566667E-01,1.73400760E+00
2.66933333E-01,1.71059194E+00
3.00300000E-01,1.70260945E+00
3.33666667E-01,1.71027789E+00
3.67033333E-01,1.73676911E+00
4.00400000E-01,1.78118741E+00
4.33766667E-01,1.83408800E+00
4.67133333E-01,1.89720210E+00
5.00500000E-01,1.96578153E+00
5.33866667E-01,2.03101969E+00
5.67233333E-01,2.08078457E+00
6.00600000E-01,2.12370789E+00
6.33966667E-01,2.14742481E+00
6.67333333E-01,2.14891358E+00
7.00700000E-01,2.13434088E+00
7.34066667E-01,2.10207679E+00
7.67433333E-01,2.05614619E+00
8.00800000E-01,2.00505131E+00
8.34166667E-01,1.94853072E+00
8.67533333E-01,1.89218549E+00
9.00900000E-01,1.84312699E+00
9.34266667E-01,1.80443242E+00
9.67633333E-01,1.78162467E+00
1.00100000E+00,1.77274244E+00
1.03436667E+00,1.77884026E+00
1.06773333E+00,1.79973734E+00
1.10110000E+00,1.83396731E+00
1.13446667E+00,1.87945230E+00
1.16783333E+00,1.93097294E+00
1.20120000E+00,1.98683183E+00
1.23456667E+00,2.03891500E+00
1.26793333E+00,2.08251690E+00
1.30130000E+00,2.11287117E+00
1.33466667E+00,2.13014213E+00
1.36803333E+00,2.13116392E+00
1.40140000E+00,2.11503869E+00
1.43476667E+00,2.08936300E+00
1.46813333E+00,2.04946061E+00
1.50150000E+00,2.00546973E+00
1.53486667E+00,1.95718301E+00
1.56823333E+00,1.90971479E+00
1.60160000E+00,1.86783853E+00
1.63496667E+00,1.83691848E+00
1.66833333E+00,1.81782268E+00
1.70170000E+00,1.81266141E+00
1.73506667E+00,1.82102865E+00
1.76843333E+00,1.84039160E+00
1.80180000E+00,1.87208431E+00
1.83516667E+00,1.91063206E+00
1.86853333E+00,1.95553459E+00
1.90190000E+00,1.99720018E+00
1.93526667E+00,2.03407668E+00
1.96863333E+00,2.06256084E+00
2.00200000E+00,2.08064966E+00
2.03536667E+00,2.08632392E+00
2.06873333E+00,2.07851070E+00
2.10210000E+00,2.05827116E+00
2.13546667E+00,2.02991732E+00
2.16883333E+00,1.99206293E+00
2.20220000E+00,1.95234661E+00
2.23556667E+00,1.91153666E+00
2.26893333E+00,1.87682502E+00
2.30230000E+00,1.84921092E+00
2.33566667E+00,1.83441987E+00
2.36903333E+00,1.83036751E+00
2.40240000E+00,1.83589903E+00
2.43576667E+00,1.85126255E+00
2.46913333E+00,1.87631427E+00
2.50250000E+00,1.91153366E+00
2.53586667E+00,1.94684420E+00
2.56923333E+00,1.98273882E+00
2.60260000E+00,2.01541950E+00
2.63596667E+00,2.03870561E+00
2.66933333E+00,2.05333894E+00
2.70270000E+00,2.05549411E+00
2.73606667E+00,2.04750378E+00
2.76943333E+00,2.03248297E+00
2.80280000E+00,2.00794570E+00
2.83616667E+00,1.97735433E+00
2.86953333E+00,1.94536187E+00
2.90290000E+00,1.91423064E+00
2.93626667E+00,1.88712701E+00
2.96963333E+00,1.86676306E+00
3.00300000E+00,1.85876909E+00
3.03636667E+00,1.85782550E+00
3.06973333E+00,1.86789398E+00
3.10310000E+00,1.88678116E+00
3.13646667E+00,1.91098192E+00
3.16983333E+00,1.93835401E+00
3.20320000E+00,1.96928749E+00
3.23656667E+00,1.99794716E+00
3.26993333E+00,2.02604683E+00
3.30330000E+00,2.04231930E+00
3.33666667E+00,2.05161612E+00
3.37003333E+00,2.05000594E+00
3.40340000E+00,2.03981132E+00
3.43676667E+00,2.02208936E+00
3.47013333E+00,2.00089383E+00
3.50350000E+00,1.97280693E+00
3.53686667E+00,1.94887162E+00
3.57023333E+00,1.92236272E+00
3.60360000E+00,1.90203537E+00
3.63696667E+00,1.88863456E+00
3.67033333E+00,1.88411729E+00
3.70370000E+00,1.88722971E+00
3.73706667E+00,1.89852086E+00
3.77043333E+00,1.91728808E+00
3.80380000E+00,1.93864383E+00
3.83716667E+00,1.96318508E+00
3.87053333E+00,1.98913052E+00
3.90390000E+00,2.00954530E+00
3.93726667E+00,2.02734382E+00
3.97063333E+00,2.03379901E+00
4.00400000E+00,2.03537988E+00
4.03736667E+00,2.02783476E+00
4.07073333E+00,2.01199381E+00
4.10410000E+00,1.99031478E+00
4.13746667E+00,1.96838321E+00
4.17083333E+00,1.94529196E+00
4.20420000E+00,1.92444428E+00
4.23756667E+00,1.90231487E+00
4.27093333E+00,1.88855801E+00
4.30430000E+00,1.87915650E+00
4.33766667E+00,1.88302842E+00
4.37103333E+00,1.88849686E+00
4.40440000E+00,1.89836688E+00
4.43776667E+00,1.91569976E+00
4.47113333E+00,1.93489293E+00
4.50450000E+00,1.95488178E+00
